Airline Name,Name ,Manufacturer,delays,percentage of total delay,Early and on time,percentage of total early or on time,Difference (Early or on time - delays),percentage of delays airline
United Air Lines Inc.BOEING,United Air Lines Inc.,BOEING,20291,0.157990221,20494,0.102424421,203,0.49751134
ExpressJet Airlines Inc.EMBRAER,ExpressJet Airlines Inc.,EMBRAER,18728,0.145820356,21534,0.107622108,2806,0.465153246
JetBlue AirwaysAIRBUS,JetBlue Airways,AIRBUS,12014,0.093543665,17362,0.086771387,5348,0.408973312
Envoy Air,Envoy Air,,7758,0.060405506,16460,0.082263393,8702,0.320340243
Endeavor Air Inc.BOMBARDIER INC,Endeavor Air Inc.,BOMBARDIER INC,7063,0.054994082,10353,0.051741975,3290,0.405546624
American Airlines Inc.,American Airlines Inc.,,6956,0.054160957,15164,0.075786275,8208,0.314466546
JetBlue AirwaysEMBRAER,JetBlue Airways,EMBRAER,6789,0.052860658,11876,0.059353588,5087,0.363728904
Delta Air Lines Inc.BOEING,Delta Air Lines Inc.,BOEING,6709,0.05223776,13935,0.069644008,7226,0.324985468
Southwest Airlines Co.BOEING,Southwest Airlines Co.,BOEING,6555,0.051038682,5520,0.027587723,-1035,0.542857143
United Air Lines Inc.AIRBUS INDUSTRIE,United Air Lines Inc.,AIRBUS INDUSTRIE,5913,0.046039928,8636,0.043160793,2723,0.406419685
ExpressJet Airlines Inc.BOMBARDIER INC,ExpressJet Airlines Inc.,BOMBARDIER INC,3843,0.029922449,5759,0.028782192,1916,0.400229119
Delta Air Lines Inc.AIRBUS INDUSTRIE,Delta Air Lines Inc.,AIRBUS INDUSTRIE,3660,0.028497571,7947,0.039717326,4287,0.315326958
Delta Air Lines Inc.MCDONNELL DOUGLAS AIRCRAFT CO,Delta Air Lines Inc.,MCDONNELL DOUGLAS AIRCRAFT CO,2910,0.022657905,5954,0.029756758,3044,0.328294224
US Airways Inc.AIRBUS INDUSTRIE,US Airways Inc.,AIRBUS INDUSTRIE,2594,0.020197459,7394,0.036953556,4800,0.259711654
Virgin AmericaAIRBUS,Virgin America,AIRBUS,2225,0.017324343,2906,0.014523537,681,0.433638667
JetBlue AirwaysAIRBUS INDUSTRIE,JetBlue Airways,AIRBUS INDUSTRIE,1926,0.014996263,2557,0.012779313,631,0.42962302
American Airlines Inc.BOEING,American Airlines Inc.,BOEING,1860,0.014482372,3319,0.016587619,1459,0.359142692
AirTran Airways CorporationBOEING,AirTran Airways Corporation,BOEING,1531,0.011920705,1455,0.007271764,-76,0.512726055
Delta Air Lines Inc.AIRBUS,Delta Air Lines Inc.,AIRBUS,1497,0.011655974,3649,0.018236885,2152,0.290905558
US Airways Inc.AIRBUS,US Airways Inc.,AIRBUS,1309,0.010192164,3541,0.017697125,2232,0.269896907
American Airlines Inc.MCDONNELL DOUGLAS,American Airlines Inc.,MCDONNELL DOUGLAS,990,0.007708359,2735,0.013668917,1745,0.265771812
US Airways Inc.EMBRAER,US Airways Inc.,EMBRAER,829,0.006454778,4027,0.020126044,3198,0.170716639
United Air Lines Inc.AIRBUS,United Air Lines Inc.,AIRBUS,661,0.005146692,977,0.004882827,316,0.403540904
